40001	40
40003	41
40003	135
40004	41
40004	121
40005	64
40005	121
40017	79
40018	71
40018	79
40018	151
40019	151
40020	103
40020	149
40021	25
40021	103
40021	149
40022	25
40024	41
40025	41
40029	40
40030	40
40030	141
40030	147
40031	128
40031	141
40034	105
40035	105
40036	79
40037	79
40038	121
40039	121
40046	71
40046	151
40047	41
40047	71
40047	151
40048	41
40052	141
40059	25
40059	79
40060	25
40060	79
40061	40
40062	40
40068	41
40069	41
40072	121
40072	151
40073	71
40073	151
40074	71
40074	141
40080	79
40090	41
40091	40
40091	41
40093	25
40094	25
40096	141
40097	141
40098	151
40100	71
40100	79
40101	79
40103	88
40104	88
40105	121
40106	121
40110	41
40111	41
40116	105
40117	105
40119	141
40120	141
40121	40
40122	151
40123	151
40125	71
40125	79
40126	71
40126	79
40133	41
40136	25
40137	25
40139	121
40140	121
40143	141
40144	141
40147	151
40148	40
40148	151
40149	40
40149	79
40150	79
40151	71
40152	41
40152	71
40153	41
40167	141
40168	141
40172	151
40173	25
40173	79
40173	121
40174	25
40175	41
40176	41
40178	40
40178	71
40179	40
40190	105
40191	105
40192	141
40193	141
40194	128
40196	41
40196	151
40197	41
40197	151
40203	79
40204	71
40206	121
40207	121
40213	25
40214	25
40214	40
40215	40
40218	141
40219	41
40220	41
40221	151
40230	71
40231	71
40239	79
40240	121
40241	121
40242	41
40244	141
40245	64
40245	141
40245	151
40246	151
40250	40
40251	40
40254	71
40255	71
40256	25
40257	25
40263	88
40264	41
40264	88
40264	105
40264	120
40265	105
40270	151
40271	141
40271	151
40272	141
40274	121
40275	121
40279	71
40280	71
40282	144
40288	40
40288	41
40289	40
40289	41
40296	151
40297	151
40299	141
40300	141
40304	79
40305	79
40306	71
40307	71
40308	121
40312	41
40318	25
40322	40
40322	151
40328	141
40329	141
40331	71
40332	41
40332	71
40333	41
40337	105
40338	105
40339	128
40341	121
40342	121
40347	151
40348	151
40356	71
40357	71
40358	41
40359	41
40359	141
40360	79
40361	79
40366	40
40367	40
40371	25
40372	25
40373	151
40375	121
40376	121
40380	41
40381	41
40383	71
40390	141
40393	120
40398	151
40402	40
40403	40
40404	41
40406	79
40407	79
40407	105
40408	105
40409	71
40409	121
40410	71
40410	121
40419	25
40420	25
40422	141
40422	151
40423	141
40427	41
40431	40
40432	40
40435	71
40443	121
40446	88
40447	151
40451	41
40451	64
40456	141
40457	141
40458	71
40469	105
40470	40
40470	105
40472	151
40473	151
40474	128
40475	128
40476	25
40476	41
40476	121
40477	25
40477	121
40482	71
40483	71
40491	120
40491	141
40492	141
40497	151
40498	41
40499	41
40508	71
40509	71
40510	121
40511	121
40516	40
40517	40
40521	151
40522	151
40523	41
40524	41
40528	141
40529	141
40533	71
40533	105
40534	25
40534	71
40535	25
40544	121
40545	41
40545	121
40546	41
40546	151
40547	151
40558	40
40558	71
40563	144
40564	144
40567	141
40568	141
40570	41
40570	151
40571	41
40571	120
40571	151
40572	120
40578	121
40579	121
40586	71
40587	71
40593	25
40593	105
40594	105
40595	41
40596	41
40596	151
40597	151
40604	128
40605	128
40606	40
40607	40
40608	141
40609	141
40610	71
40611	71
40612	121
40621	41
40621	151
40622	151
40628	88
40635	71
40636	71
40639	64
40644	151
40645	121
40645	151
40646	120
40646	121
40647	120
40648	41
40649	41
40651	40
40652	40
40652	105
40652	141
40653	105
40653	141
40656	71
40658	25
40659	25
40671	41
40671	145
40672	151
40679	121
40680	71
40680	121
40681	71
40693	40
40694	40
40695	151
40696	41
40696	151
40697	41
40699	141
40701	92
40705	71
40705	105
40709	25
40713	121
40714	121
40719	41
40720	41
40721	151
40727	120
40728	120
40729	71
40730	71
40742	40
40743	40
40744	41
40745	41
40746	151
40747	121
40747	151
40748	121
40749	141
40750	141
40751	128
40752	128
40753	71
40754	71
40762	105
40763	105
40765	25
40771	151
40772	41
40772	151
40778	71
40779	71
40781	121
40782	121
40791	40
40792	40
40794	120
40795	151
40797	41
40798	41
40802	71
40804	141
40807	64
40808	64
40815	25
40815	121
40815	144
40816	25
40816	144
40816	145
40817	105
40817	145
40818	88
40819	88
40821	151
40822	41
40822	151
40823	41
40825	71
40826	71
40838	40
40844	151
40845	151
40848	41
40849	41
40849	71
40849	121
40850	71
40864	141
40865	92
40866	92
40866	105
40867	105
40868	151
40871	120
40872	120
40874	41
40874	71
40875	25
40875	41
40875	71
40881	40
40882	40
40882	121
40883	121
40889	128
40890	128
40894	151
40898	71
40899	41
40899	71
40900	41
40916	121
40917	121
40917	151
40918	151
40920	105
40921	105
40922	71
40923	71
40925	25
40925	40
40926	40
40926	41
40929	120
40930	120
40931	141
40932	141
40943	151
40944	151
40948	71
40949	71
40950	41
40950	121
40951	41
40951	121
40967	151
40970	40
40972	71
40973	64
40973	145
40974	145
40976	25
40976	105
40977	25
40977	41
40977	105
40984	121
40985	121
40990	151
40991	151
40993	71
40993	120
41001	41
41002	41
41003	88
41003	92
41004	88
41004	92
41009	40
41010	40
41010	141
41015	128
41016	128
41016	151
41017	71
41018	71
41018	121
41019	121
41033	41
41039	151
41040	151
41041	25
41041	71
41042	25
41042	71
41042	105
41043	105
41052	121
41053	121
41056	41
41057	41
41060	40
41061	40
41062	151
41063	151
41065	71
41066	71
41068	144
41069	144
41074	120
41075	120
41083	41
41084	41
41086	121
41087	121
41087	151
41088	151
41091	71
41092	25
41092	71
41095	105
41096	105
41105	40
41106	40
41106	41
41107	41
41107	141
41107	145
41108	145
41111	151
41116	71
41120	121
41130	64
41132	120
41133	128
41134	41
41134	128
41134	151
41135	92
41135	151
41136	92
41138	71
41139	71
41143	25
41154	121
41156	105
41157	40
41158	40
41158	151
41159	41
41159	151
41161	71
41162	71
41181	151
41182	151
41185	71
41186	41
41187	41
41188	25
41188	121
41192	120
41193	120
41197	40
41197	65
41202	105
41203	105
41205	151
41208	71
41209	71
41210	41
41212	88
41222	121
41227	151
41228	151
41232	71
41233	71
41237	40
41238	25
41240	41
41241	41
41241	92
41242	92
41243	128
41244	128
41247	145
41248	145
41251	105
41251	151
41252	105
41254	120
41256	71
41256	121
41257	141
41269	41
41270	41
41275	64
41278	151
41280	71
41281	71
41286	48
41290	121
41291	35
41292	35
41296	40
41297	41
41298	41
41301	151
41302	151
